"From items","From items"
"To items","To items"
Price,Price
Add,Add
"SKU Prefix","SKU Prefix"
"From sqr","From sqr"
"To sqr","To sqr"
"Installation elements service was added.","Installation elements service was added."
"New Installation request from %customerEmail on %storeName","New Installation request from %customerEmail on %storeName"
Firstname:,Firstname:
Lastname:,Lastname:
Email:,Email:
Phone:,Phone:
Address:,Address:
Postcode:,Postcode:
City:,City:
Quantity:,Quantity:
Assembly,Assembly
"Disposal of construction waste","Disposal of construction waste"
Yes,Yes
internal_finish_type,internal_finish_type
"Living room qty ","Living room qty "
qty.,qty.
"High ground floor qty","High ground floor qty"
"First floor qty","First floor qty"
Driving,Driving
Installation,Installation
cm,cm
Specifications,Specifications
"Edit item parameters","Edit item parameters"
Edit,Edit
"Hello %customer,","Hello %customer,"
"We received report about installation, please check attachment","We received report about installation, please check attachment"
"We received your request with the following data:","We received your request with the following data:"
"Thank you!","Thank you!"
"We will get in touch with you soon","We will get in touch with you soon"
"Calculate your installation price","Calculate your installation price"
"Shall we help you install? Then you can calculate a total price below. See the price list here.","Shall we help you install? Then you can calculate a total price below. See the price list here."
"Living room","Living room"
"High ground floor","High ground floor"
"First floor","First floor"
Above,Above
Strip,Strip
Acrylic,Acrylic
"Where should we install your %1 windows?","Where should we install your %1 windows?"
"<b>Disposal of construction waste</b> (Old windows/doors)","<b>Disposal of construction waste</b> (Old windows/doors)"
"<b>Internal finish</b> (white flat strip or acrylic joint)","<b>Internal finish</b> (white flat strip or acrylic joint)"
"<b>Total price</b> (incl. VAT)","<b>Total price</b> (incl. VAT)"
"Calculate installation price","Calculate installation price"
"The number of items in the cart and for the installation product are different","The number of items in the cart and for the installation product are different"
"Assembly (%1 ps.)","Assembly (%1 ps.)"
"High ground floor (%1 ps.)","High ground floor (%1 ps.)"
"First floor (%1 ps.)","First floor (%1 ps.)"
"Disposal (%1 ps.)","Disposal (%1 ps.)"
"Internal finish (%1 ps.)","Internal finish (%1 ps.)"
"You are trying to add more items than there are in the cart","You are trying to add more items than there are in the cart"
"Installation Elements","Installation Elements"
General,General
"Is enable","Is enable"
"Email subscribers","Email subscribers"
"Standard price for installing windows and doors","Standard price for installing windows and doors"
"Window Product Prefix","Window Product Prefix"
"Door Product Prefix","Door Product Prefix"
"Window Square Price","Window Square Price"
"Door Square Price","Door Square Price"
"3 Layer glass","3 Layer glass"
"Optional when installing windows and doors","Optional when installing windows and doors"
"Construction Waste Disposal","Construction Waste Disposal"
"Internal Finish","Internal Finish"
"Supplement for installation of windows and doors","Supplement for installation of windows and doors"
"Installation high ground floor (over 3 meters to top edge)","Installation high ground floor (over 3 meters to top edge)"
"Assembly 1st floor of alm. villa","Assembly 1st floor of alm. villa"
"Installation above the 1st floor or storey builder","Installation above the 1st floor or storey builder"
RoutePlanner,RoutePlanner
Type,Type
"Status after creation","Status after creation"
"Email template","Email template"
"Create ticket status","Create ticket status"
"Delete Installation Product","Delete Installation Product"
"Are you sure you want to delete the Installation product","Are you sure you want to delete the Installation product"
